name,email
Restaurant Ca la Maria,calamaria@gmail.com
Carnisseria Puigdomènech,carnisseria.puigdomenech@gmail.com
Supermercat Bon Preu Vic,compres.vic@bonpreu.cat
Hotel Mas el Guitart,recepcio@maseguitart.cat
Restaurant El Racó de l'Empordà,info@racoemporda.cat
Catering Germans Soler,pedides@cateringsoler.cat
Carnisseria Can Farrés,canfarres@carnisseria.cat
Bústia Gastronòmica SL,gestio@bustiagastronomica.cat
Restaurant L'Hostal de Collsacabra,hostal@collsacabra.cat
Distribucions Alimentàries Garriga,info@dagarriga.cat
Supermercat Esclat Manresa,manresa@esclat.cat
Restaurant La Cuina de l'Àvia,info@cuinadlavia.cat
Carnisseria Boixader,boixader@carnisseria.cat
Fonda dels Capellans,info@fondacapellans.cat
Hotel Rural La Masia dels Vents,reservas@masiadelsvent.cat
Catering Ricard Casamitjana,ricard@casamitjanacatering.cat
Restaurant El Celler de la Plana,info@cellerplana.cat
Carns Selectes Prat SL,carns@selectesprat.cat
Supermercat Condis Granollers,compres.granollers@condis.cat
Restaurant La Taula Pairal,lataula@pairalxef.cat
Carnisseria Travesseres,travesseres@carnisseria.cat
Bar Restaurant Can Ton,canton@restaurantcanton.cat
Distribucions Meatpro Girona,vendes@meatprogirona.cat
Hotel Balneari Vichy Catalan,cuina@vichycatalan.cat
Restaurant Mas Pau,maupau@restaurantmaspau.cat
Catering La Masia Events,events@lamasiaevent.cat
Carnisseria Germans Borràs,borras@carnisseria.cat
Supermercat Mercadona Lleida Centre,lleida.centre@mercadona.es
Fonda Can Jubany,info@canjubany.com
Restaurant El Mirador del Montseny,reservas@miradormontseny.cat
