name,price
Fuet Extra Cular,3.95
Fuet Llarg Artesà,2.75
Llonganissa Seca de Vic,4.50
Llonganissa Fresca de Porc,3.20
Botifarra Blanca Fresca,3.80
Botifarra Negra amb Arròs,4.10
Botifarra d'Ou,4.60
Botifarra de Perol,3.50
Botifarra Crua de Porc,3.30
Pernil Dolç Cuit Premium,6.90
Pernil Salat Serrano 18 mesos,8.50
Pernil Ibèric de Gla,22.00
Espatlla de Porc Cuita,5.40
Pit de Pollastre Ecològic,5.80
Cuixa de Pollastre de Pagès,4.20
Conill de Granja Sencer,7.50
Costelles de Porc Ibèric,9.80
Llom de Porc Fresc,7.20
Filet de Vedella Gallega,18.50
Entrecot de Vedella,16.90
Carn Picada de Porc i Vedella,3.60
Hamburguesa Artesana de Vedella,5.90
Hamburguesa de Pollastre i Herbes,4.80
Paté de Fetge de Porc,2.90
Paté de Campanya amb Tòfona,6.20
Sobrassada Mallorquina,5.10
Cansalada Viada Fumada,4.30
Cansalada Magra de Porc,3.80
Xoriço Picant Aragonès,4.70
Xoriço Dolç de Casa,4.20
Salchichón de Vic IGP,5.30
Morro de Porc Cuit,3.10
Peus de Porc Cuits,2.80
Orella de Porc Cuita,2.60
Ventresca de Porc Ibèric,8.90
Llard de Porc Artesà,2.20
Bou de Vedella per Bullir,6.40
Ossos de Porc per Brou,1.80
Pit de Vedella per Estofat,8.20
Pollastre Sencer de Pagès,7.90
